PlayerName;Pos;Team;TotalPoints;Rank
Wil Lutz;K;NO;160.00;1
Harrison Butker;K;KC;156.00;2
Justin Tucker;K;BAL;147.00;3
Josh Lambo;K;JAX;134.00;4
Matt Gay;K;TB;129.00;5
Matt Prater;K;DET;129.00;6
Brandon McManus;K;DEN;128.00;7
Greg Zuerlein;K;DAL;128.00;8
Chris Boswell;K;PIT;127.00;9
Dan Bailey;K;MIN;120.00;10
Joey Slye;K;CAR;116.50;11
Randy Bullock;K;CIN;114.00;12
Mason Crosby;K;GB;114.00;13
Jason Sanders;K;MIA;112.60;14
Robbie Gould;K;SF;111.00;15
Jason Myers;K;SEA;107.00;16
Brett Maher;K;NYJ;104.00;17
Dustin Hopkins;K;WAS;103.50;18
Jake Elliott;K;PHI;102.50;19
Austin Seibert;K;CLE;101.00;20
Stephen Hauschka;K;BUF;100.00;21
Eddy Pineiro;K;CHI;96.00;22
Ka'imi Fairbairn;K;HOU;95.50;23
Younghoe Koo;K;ATL;91.10;24
Daniel Carlson;K;LV;91.00;25
Chase McLaughlin;K;IND;91.00;26
Sam Ficken;K;NYJ;85.00;27
Mike Badgley;K;LAC;64.00;28
Aldrick Rosas;K;NYG;61.00;29
Kai Forbath;K;DAL;50.00;30
Ty Long;K;LAC;35.00;31
Greg Joseph;K;TEN;10.00;32
Ramiz Ahmed;K;CHI;0.00;33
Tyler Bass;K;BUF;0.00;34
Rodrigo Blankenship;K;IND;0.00;35
Jon Brown;K;FA;0.00;36
Elliott Fry;K;TB;0.00;37
Graham Gano;K;CAR;0.00;38
Zane Gonzalez;K;ARI;0.00;39
Stephen Gostkowski;K;NE;0.00;40
Lirim Hajrullahu;K;LA;0.00;41
Austin MacGinnis;K;LA;0.00;42
Justin Rohrwasser;K;NE;0.00;43
Sam Sloman;K;LA;0.00;44
Ryan Succop;K;TEN;0.00;45
Adam Vinatieri;K;IND;0.00;46
Tristan Vizcaino;K;FA;0.00;47
Nick Vogel;K;BAL;0.00;48
Kaare Vedvik;K;BUF;-3.00;49
